"season.1985.1986","season.1986.1987","season.1987.1988","season.1988.1989","season.1989.1990","season.1990.1991","season.1991.1992","season.1992.1993","season.1993.1994","season.1994.1995","season.1995.1996","season.1996.1997","season.1997.1998","season.1998.1999","season.1999.2000","season.2000.2001","season.2001.2002","season.2002.2003","season.2003.2004","season.2004.2005","season.2005.2006","season.2006.2007","season.2007.2008","season.2008.2009","season.2010.2011","season.2011.2012","season.2012.2013","season.2013.2014","season.2014.2015","season.2015.2016","season.2016.2017","season.2017.2018","season.2018.2019","season.2019.2020"
80.5924759963142,57.6437338012934,73.3030286077537,80.361373664744,75.458130582965,33.8417198244307,48.1208890978348,40.9348861233302,30.9547590398435,23.7396474734043,25.1817977023139,16.6155209169355,28.26908947772,40.2443903642661,41.5993547976595,65.6729143615154,32.9738159457992,17.8506642158397,47.515655234926,25.2699893195558,41.8857832330479,21.8865550043561,20.3042879038272,15.4343786204698,26.722765171699,11.4743372217582,28.4832906264457,18.8006887263842,33.8530023627999,20.3970878333736,20.8298134008737,18.590461741528,12.015939095433,10.6197535796674
134.376035515556,55.8037789340357,66.3252766639396,78.9028119578196,67.9524924313838,22.3249311279049,46.9223485923645,50.9413426581478,32.4817589115382,24.3013828964586,25.5146412233459,19.9845280316721,25.6096280982829,31.4107832711674,31.7031672592866,67.6059185371655,30.8918764774562,22.2793628949779,62.6655975764719,32.6475764108316,37.4338559212303,26.215124395663,31.5766306917377,14.1312038815324,28.8125987550321,25.9529091422403,19.9741458658063,22.5013488671034,32.5958976321702,28.039426962698,19.3487086878487,14.9004778603883,11.6262571739733,11.5517033111041
154.093970664811,48.2913607295889,80.8651672768624,66.341144367744,50.9497132416889,30.1629363075429,49.2426000837237,42.4267640037122,25.5594723534896,18.9842956488092,27.2124793861854,21.7301796545242,27.8917898720999,20.2585830152406,29.9711691730783,60.6336479579321,37.9750320395497,23.1722196045777,73.6276595570369,26.7493326256716,28.5584885679872,33.2653623726409,25.3463552396124,14.5324199706086,24.6437118647722,32.9883363193536,27.1350052763103,23.9427704061289,24.1047950204922,25.1476499169065,14.0442871574803,10.9144579952673,9.77937389103953,14.1462513634238
118.751899133876,50.2453261462954,71.5638239357581,73.0252071721277,40.3559524322897,27.7658931297946,36.8286570420222,46.9295844855031,30.1878732949679,19.0737009864125,22.1357751765067,18.0143876204686,33.005368155349,21.008716097332,30.1413941758259,26.7962293619396,18.5875816383365,29.2475272155503,87.8748060555176,36.9293825748694,32.4137658277055,12.6272214971253,21.7379548020954,15.1964481490409,24.3834451915347,21.5354579168719,19.9893979625273,15.4656944708284,23.3354770356399,21.9150455661333,22.6808198976369,12.7744012481595,9.8331231215857,11.6635372788765
101.399975158646,68.3431853649464,61.8507932299688,93.5491301682556,39.1593264554468,30.1492095033754,33.4037677913478,37.420986969993,54.6621938549361,20.4991257085774,50.0795016922319,42.8053211281125,30.3876434579496,21.6573899377215,29.3861240180042,41.638353953412,33.829072769649,31.2241049313673,153.515453278532,24.9607300508204,23.1205851753796,19.3158281773358,24.2660239127821,19.3952211742569,13.9219569589764,27.7493188702526,28.8157863349633,16.0771606605413,24.3471828787334,20.3850762983963,23.8968532919507,20.9841668443256,16.5204232220385,15.1169702036883
124.354867472962,56.3633076305612,64.921004085247,160.396695485372,40.6007952114132,34.7391096468805,40.437937139692,38.6698824621123,128.718301823104,24.0416013494605,104.862519403895,53.8404528361034,13.4776093635879,22.9597274172727,14.2146140643864,33.799677427877,34.4171636523344,20.6279014810261,234.696397629329,22.2124672709242,37.9308005269575,22.0626537227819,28.460711249809,16.9490471117884,23.8167106604613,34.2850621127823,40.3204428916047,20.2405929795792,22.2274182551088,18.916666147418,31.1735851428993,20.0317682493961,16.83843950277,23.9026467118882
116.673264875921,64.4422705653457,51.7888749269887,426.749834398615,70.6302447974315,40.078836468035,60.9360529640171,44.6475890488823,408.618055466561,25.6508974263189,202.516791241199,120.587335712948,18.4626386661611,24.1256770637163,59.3506825113642,106.410403041216,44.7258592358044,26.6061594496509,534.813365914946,33.7124485320443,42.5473209565956,25.3204800136602,48.0223690809237,29.0897215591444,40.9619702649176,27.0181862420428,59.8232989687325,34.3452820604013,27.3371349685902,22.4600689657295,33.3510636593182,37.3364171312077,23.8124021661358,27.8377112579065
120.400349542008,80.7387631027062,73.0413629098607,1106.16730184919,205.335155193509,50.7394157546135,77.1248864011528,55.0397588853477,893.1459493442,31.1855938919083,347.04148254018,327.633010151567,19.2105600082752,37.6496950027082,97.0282515661113,71.6130460388101,70.5106306794144,32.0247644807367,826.76179885895,48.6557288677443,39.3440856636277,25.8472038589518,75.316760258641,39.8168090880109,56.9537402939011,49.5974624394407,65.5931671582824,26.7133343327189,42.3892704139017,24.6656870759412,60.6549070646478,56.1690901323566,29.1156595800247,33.3518714288711
116.239554928968,98.7436598733452,86.1403477463859,1676.25854537658,617.353825110631,65.8526271430222,160.322719494553,66.5160039925235,1520.3044343416,35.6963462079662,631.225970441848,689.378264395758,26.674748223883,55.5281440035966,185.641107850761,121.707062570426,56.678276981683,39.8809330287916,892.341402946668,43.1878974669067,43.6630723802825,29.5169753661478,59.9591703549454,54.35078415974,84.6575106185723,41.7052152640689,72.5038921825622,27.4188722439262,50.4904447318873,32.2494699722511,114.399988905942,95.3729261726176,29.4695086811203,38.2651104130054
151.676831082405,128.767022564337,100.770949134578,1737.48171638269,1291.94740894353,75.7119042363234,339.280865794246,68.1370193659682,1062.5328963089,48.6348167630015,1016.89747375634,896.623298280749,55.9722295470099,91.1054092495734,299.320008957471,162.741557833992,51.0042588531706,56.969757552201,839.225843247461,67.5237325004886,58.3672517809569,56.0811525786906,70.9266439551108,80.4702625788242,161.510101118993,37.0241271161595,121.891706574795,36.4983106539563,63.5056188591845,37.6006088046503,189.548456549614,193.671824166706,41.4779826056442,51.0305850543326
